title;artist;album;isrc
Dadada;"School Disco";"School Disco";QZ22B2087520
"Keen for Kick Ons?";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBKPL1832916
"Bill's Mandolin";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900151
"Hymn for a Droid";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900152
"Fields, Woods, Time";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900153
"Native Tongue";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900154
"Social Candy";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBKPL1818269
"My Friend's a Liquid";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBKPL1828918
"When in Rome";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900157
"Digital Hunger";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900158
"Dezi's Adventure";"Psychedelic Porn Crumpets";"And Now for the Whatchamacallit";GBX721900159
"Spanish Sun";Sunbirds;Sunbirds;DEY910500045
9;Föllakzoid;II;US5NR1394501
"The Antidote";"Taylor McFerrin, Nai Palm";"Early Riser";US25X1085977
"New Moon";"Steve Gunn";"The Unseen In Between";USMTD1811730
"Dustbin Fletcher";"King Gizzard & The Lizard Wizard";"Willoughby's Beach";AUW631100076
"Morning Song";"King Buffalo";"Longing to Be the Mountain";TCADT1804070
"Born To Go - Live At Liverpool And London;1996 Digital Remaster";Hawkwind;"Space Ritual (Recorded Live At Liverpool Stadium And Brixton Sundown)";GBAYE9600509
Super;NEU!;"NEU! 2";DEA340002079
Hollywood;Cluster;Zuckerzeit;DEN120407071
"Im Gluck";NEU!;NEU!;DEA340002066
"Miss Modular";Stereolab;"Dots And Loops";USEE19792077
"Bleeding Decay";"Fly Pan Am";"Bleeding Decay";CACQ21914703
"Cut It Upwards";Kelpe;Ex-Aquarium;GBHKS0800013
Supreme;Ratatat;Magnifique;GBBKS1500063
"Amethyst Realm";"The Claypool Lennon Delirium";"South Of Reality";USATO1800350
"Pin Ball Wizard";"Joe Renzetti, Tony Luisi";"Electric Tommy - The World's First Rock Opera";QMFMF1337056
"Miss You";trentemøller;"Chilltronica No. 2 - Music For The Cold & Rainy Season";DEL020620046
"Hi De Ho Man";"Cab Calloway";"Hi De Ho Man";USSM10010370
"New York - Kelly Lee Owens Remix";"St. Vincent, Kelly Lee Owens";"New York (Kelly Lee Owens Remix)";USC4R1802328
"The Suburbs";"Arcade Fire";"The Suburbs";GBUM71018417
"Feel So Good";Jamiroquai;"A Funk Odyssey";GBBBN0102307
Riot;"Flying Lotus";"Los Angeles";GBBPW0800012
"Orbit 405";"Flying Lotus";"Los Angeles";GBBPW0800010
"Descent Into Madness";"Flying Lotus, Thundercat";"You're Dead! (Deluxe)";GBBPW1400167
"Getting There";"Flying Lotus, Niki Randa";"Until The Quiet Comes";GBBPW1200118
"Electric Candyman";"Flying Lotus, Thom Yorke";"Until The Quiet Comes";GBBPW1200130
MmmHmm;"Flying Lotus, Thundercat";Cosmogramma;GBBPW1000009
"See Thru To U";"Flying Lotus, Erykah Badu";"Until The Quiet Comes";GBBPW1200191
"Them Changes";Thundercat;"The Beyond / Where the Giants Roam";US25X1088170
"Dead Man's Tetris";"Flying Lotus, Captain Murphy, Snoop Dogg";"You're Dead! (Deluxe)";GBBPW1400158
"Do The Astral Plane";"Flying Lotus";Cosmogramma;GBBPW1000010
"Wesley's Theory";"Kendrick Lamar, George Clinton, Thundercat";"To Pimp A Butterfly";USUM71502491
"Never Catch Me";"Flying Lotus, Kendrick Lamar";"You're Dead! (Deluxe)";GBBPW1400157
