track_uri|track_name
spotify:track:5vd5Xnm203ZmzulaK49zJw|Dancing On My Own
spotify:track:76hfruVvmfQbw0eYn1nmeC|Cake By The Ocean
spotify:track:2l8w0zZVn4AZNuzrht7MRT|"Love Me Like You Do - From ""Fifty Shades Of Grey"""
spotify:track:1pKeFVVUOPjFsOABub0OaV|Side To Side
spotify:track:42ydLwx4i5V49RXHOozJZq|Scars To Your Beautiful
spotify:track:5WHTFyqSii0lmT9R21abT8|Don't Call Me Up
spotify:track:62LHRv9uwSNlBmByQF5jdE|Don't Stop The Music
spotify:track:7wZUrN8oemZfsEd1CGkbXE|Bleeding Love
spotify:track:29fRTIKsJhLUJoldM89GZS|You Need To Calm Down
spotify:track:4esOae7i4rqTbAu9o5Pxco|Girl on Fire
spotify:track:0pqnGHJpmpxLKifKRmU6WP|Believer
spotify:track:01xdiGuSuIf5qZulm1uqkY|Feel It!
spotify:track:3iSK0crYWJQZC1SGgruMcW|Squats
spotify:track:0GiwV6v3AgJfdu59tj719Y|Pump It Up
spotify:track:1ZDmxwg7Lywlx68b7SsJjj|MEGATRON
spotify:track:6v0lAdFF4haL8xjBIUjtOw|Te Robaré
spotify:track:62E8JJRtwOwU85uup9C5Ox|Parecen Viernes
spotify:track:17G9G5tBsdzmKmoHIh00sX|Me Gusta - Remix
spotify:track:4bTZeO72FwMa6wKOiqoynL|Otro Trago - Remix
spotify:track:37eGbhE1xVFSvcKkqGb6i1|Contra La Pared
spotify:track:7KbF6AdprOXEEHlsq11Z6d|11 PM
spotify:track:1RKZvaLj3UPhGjZkaIrFm7|Que Calor (feat. J Balvin & El Alfa)
spotify:track:2ijef6ni2amuunRoKTlgww|Sin Pijama
spotify:track:0wt9RjddODlWDetpuaXfRK|Sunflower (Remix) [with Swae Lee, Nicky Jam, and Prince Royce]
spotify:track:2qG5sZ7Si6sdK74qLxedYM|Con Altura
spotify:track:1f38Gx6xQz6r4H1jGVNBJo|Loco Contigo (with J. Balvin & Tyga)
spotify:track:22mek4IiqubGD9ctzxc69s|How Deep Is Your Love
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw|Closer
spotify:track:2cYnZNzFRFK0H7vSNxPsUq|Ella Quiere Beber - Remix
spotify:track:5jrdCoLpJSvHHorevXBATy|Dark Horse
spotify:track:1KSqYYJFyfTecXFk9M0prc|Escápate Conmigo (feat. Ozuna)
spotify:track:09CtPGIpYB4BrO8qb1RGsF|Sorry
spotify:track:2y6vf5vYJFow4oABKSW1m3|Swish Swish
spotify:track:3oiMJQAWVaxSubJ7b2VUtX|Fancy
spotify:track:4pLwZjInHj3SimIyN9SnOz|Side To Side
spotify:track:5iwz1NiezX7WWjnCgY5TH4|Calma - Remix
spotify:track:7uH27oIt4a6cIFCA8ZPcyG|Baila Baila Baila
spotify:track:0sf12qNH5qcw8qpgymFOqD|Blinding Lights
spotify:track:7dt6x5M1jzdTEt8oCbisTK|Better Now
spotify:track:22VdIZQfgXJea34mQxlt81|Can't Feel My Face
spotify:track:1zi7xx7UVEFkmKfv06H8x0|One Dance
spotify:track:5WQQIDU3HRaMyPkob8mpFb|Where Have You Been
spotify:track:2ekn2ttSfGqwhhate0LSR0|New Rules
spotify:track:0WfKDYeUAoLA3vdvLKKWMW|Poker Face
