track_uri|danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|time_signature
1vYi6C91r7lb6O47Y3KCqW|0.471|0.35|2|-12.116|0|0.0363|0.746|0.836|0.063|0.721|170.044|4
6I74sQ7iyZIdBggax7m6zR|0.681|0.526|4|-12.306|0|0.0375|0.732|0.47|0.0854|0.716|109.964|4
4ZzZhUQsra3pxXlBUGZ7Nf|0.668|0.664|1|-12.395|1|0.0442|0.448|0.594|0.105|0.749|105.021|4
5NLlyvSXEHtnWWMsuLa1ga|0.697|0.251|0|-17.928|1|0.0667|0.503|0.769|0.0902|0.73|83.01|3
64tpMeDbrbmfoYBwQDbzzd|0.534|0.428|7|-15.417|1|0.0551|0.579|0.915|0.114|0.59|81.685|3
4cOnJhGrmGO99kD8bybLe9|0.596|0.54|9|-10.873|0|0.0379|0.235|0.72|0.0842|0.812|95.229|3
0zlJlbbUkTXVIe5AnrrMWe|0.374|0.396|7|-13.126|1|0.0453|0.857|0.764|0.234|0.364|176.003|3
09Prdq4axC5HAiQDWbCAtm|0.689|0.454|7|-15.377|0|0.0483|0.289|0.897|0.174|0.753|90.001|3
7arh7Pc4vAB78I7TM7Qi54|0.668|0.394|8|-14.564|1|0.0519|0.891|0.898|0.0957|0.77|97.947|4
7vC94557Lphoe5QJtb5Es2|0.638|0.761|6|-8.669|0|0.0641|0.522|0.448|0.293|0.682|142.983|4
0HgqtmI15dOEpVjp5itXus|0.513|0.561|9|-9.134|0|0.0344|0.473|0.859|0.0387|0.459|151.543|3
4sIMumoY0bBoLy00MbG21n|0.448|0.712|9|-8.122|0|0.0298|0.723|0.249|0.125|0.629|155.384|4
5NNgvwBPTSI7dOpnIgQiKM|0.311|0.781|7|-6.393|1|0.0428|0.107|0.46|0.0502|0.688|165.937|3
0o4dm7ZE0QWDBFmMeYN7Gn|0.743|0.586|11|-12.05|1|0.0373|0.398|0.864|0.207|0.565|111.007|4
1x0wxdHBwoW1ZsljWKoJGZ|0.478|0.81|6|-8.541|0|0.0306|0.0432|0.918|0.0757|0.828|170.043|4
70maV4zAUgxN9nShncA927|0.628|0.563|9|-9.18|0|0.0271|0.553|0.798|0.101|0.412|103.993|4
36kFW4FtRT2adUIWbNE61D|0.273|0.313|3|-10.143|1|0.0306|0.963|0.778|0.224|0.0889|131.963|4
0CtOaTwvzXpR3vawm11mmV|0.688|0.503|9|-9.794|1|0.0376|0.912|0.911|0.11|0.677|107.02|4
6Okrv3PcbThNtOfol58k0R|0.675|0.452|2|-9.251|1|0.0347|0.923|0.879|0.11|0.805|105.963|4
5YcALQguGvb6xaBntAtZv5|0.607|0.34|10|-13.078|1|0.035|0.918|0.76|0.121|0.531|153.99|3
1qUzyUn4yD9ac2X0BzJ9Lr|0.639|0.363|2|-12.428|0|0.0427|0.94|0.909|0.18|0.668|81.506|4
3byHoo7h73B5d7pS8bXXuX|0.613|0.563|2|-10.712|1|0.0328|0.849|0.89|0.104|0.768|99.942|4
1HjixJ3h7R8kb8GLgG82Fb|0.564|0.648|4|-6.889|0|0.0282|0.775|0.86|0.0853|0.636|136.99|4
0P5sAJveuf6EM0N82TuGKU|0.706|0.545|9|-11.562|1|0.0416|0.807|0.89|0.101|0.653|103.085|4
0kboCh9diq8HxN3HBc6HN6|0.535|0.522|7|-8.481|1|0.0312|0.856|0.854|0.123|0.713|99.699|4
3w5HjsdWdTofBhC3emcYNw|0.627|0.524|7|-10.586|1|0.0349|0.933|0.859|0.101|0.598|89.861|4
19e70fZWKFjs8cDmjfMxkp|0.574|0.375|7|-9.677|1|0.0349|0.938|0.495|0.0955|0.602|155.669|3
6T07My2bczDtpgFeFGATnJ|0.607|0.541|0|-9.693|1|0.0342|0.752|0.88|0.144|0.706|83.978|3
1t1GDsbRnU2O2CUHv5wTHV|0.644|0.515|5|-11.081|1|0.039|0.935|0.923|0.125|0.701|92.043|4
3oQtz9LjftPEoJNtlcQw30|0.658|0.295|7|-10.77|1|0.0476|0.856|0.681|0.094|0.432|102.147|4
0tQaCeHcVwxHV19gsPzo7t|0.506|0.252|4|-12.829|1|0.0397|0.975|0.917|0.153|0.472|145.239|3
4TJ4pRlId6ovVQ5A16885m|0.401|0.683|7|-7.164|1|0.0426|0.428|0.375|0.0901|0.614|162.997|3
6W74K9HyKRiaObTaK6mPYA|0.352|0.523|0|-6.185|1|0.0314|0.51|0.474|0.0971|0.131|130.682|4
0KJz7t3aSqRe6dVS1ecaGY|0.606|0.347|9|-8.891|0|0.0339|0.716|0.927|0.0749|0.472|159.899|4
3L4Ge3k4hZbXtfnPmIYMEv|0.373|0.553|9|-7.232|1|0.034|0.698|0.467|0.095|0.308|166.083|3
0avCSRAdXgdQWr3Gc5F2x5|0.635|0.834|4|-6.929|0|0.0526|0.361|0.717|0.0565|0.67|109.105|4
2IGv76nT41PYS3MZaYLzQM|0.426|0.654|2|-9.971|0|0.0386|0.734|0.881|0.184|0.37|186.002|3
2GkK0BJC0JwfDH1ANIBWYw|0.619|0.623|2|-7.916|1|0.0333|0.46|0.702|0.145|0.594|88.141|1
73wCwMja8q2wFeZtjz5mt2|0.552|0.572|5|-7.318|1|0.0297|0.819|0.812|0.139|0.338|104.981|3
1o318PuarqjOdQoiQ39QuQ|0.679|0.602|2|-6.676|0|0.0312|0.272|0.263|0.0809|0.701|123.994|3
7H8YKuWOoMUZWiDVaBODno|0.637|0.668|2|-6.281|1|0.0319|0.159|0.196|0.161|0.47|98.038|4
74a1iPjK773lloTxsK7MtD|0.424|0.299|1|-10.298|0|0.0333|0.969|0.891|0.12|0.137|125.227|3
5uryrExmzZ663vXHlHUxeP|0.508|0.614|4|-8.272|0|0.0298|0.892|0.924|0.14|0.226|81.982|4
5xLp1lnNwAQFs6HbGaWRAm|0.431|0.384|7|-8.262|1|0.0266|0.857|0.692|0.101|0.123|98.273|4
7fSjlDlGwNThqDYDm8UruI|0.441|0.541|7|-7.051|0|0.031|0.618|0.879|0.115|0.245|159.855|3
